index,bot,entry,match_result,cubes_result,cubes_total,deck,date,session,session_start,session_end
1,No,Retreat -2,Retreat,-2,-2,Glenn Jones Mobius?,10/3/2023,1,9:50:00 PM,10:30:00 PM
2,Yes ,Win 2,Win,2,0,Glenn Jones Mobius?,10/3/2023,1,9:50:00 PM,10:30:00 PM
3,No,Loss -2,Loss,-2,-2,Glenn Jones Mobius?,10/3/2023,1,9:50:00 PM,10:30:00 PM
4,No,Retreat -1,Retreat,-1,-3,Glenn Jones Mobius?,10/3/2023,1,9:50:00 PM,10:30:00 PM
5,No,Loss -2,Loss,-2,-5,Glenn Jones Mobius?,10/3/2023,1,9:50:00 PM,10:30:00 PM
6,No,Win 2,Win,2,-3,Glenn Jones Mobius?,10/3/2023,1,9:50:00 PM,10:30:00 PM
7,Yes ,Win 2,Win,2,-1,Glenn Jones Mobius?,10/3/2023,1,9:50:00 PM,10:30:00 PM
8,No,Retreat -1,Retreat,-1,-2,Glenn Jones Mobius?,10/3/2023,1,9:50:00 PM,10:30:00 PM
9,No,Loss -2,Loss,-2,-4,Glenn Jones Mobius,10/3/2023,1,9:50:00 PM,10:30:00 PM
10,Yes ,Win 4,Win,4,0,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
11,No,Loss -4,Loss,-4,-4,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
12,No,Win 2,Win,2,-2,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
13,No,Retreat -1,Retreat,-1,-3,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
14,Yes ,Win 2,Win,2,-1,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
15,No,Win 4,Win,4,3,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
16,No,Win 4,Win,4,7,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
17,No,Retreat -1,Retreat,-1,6,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
18,Yes ,Win 4,Win,4,10,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
19,No,Retreat -1,Retreat,-1,9,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
20,No,Win 8,Win,8,17,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
21,No,Retreat -1,Retreat,-1,16,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
22,Maybe,Win 4,Win,4,20,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
23,No,Retreat -1,Retreat,-1,19,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
24,No,Win 1,Win,1,20,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
25,No,Retreat -1,Retreat,-1,19,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
26,Yes ,Win 4,Win,4,23,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
27,No,Retreat -1,Retreat,-1,22,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
28,No,Win 1,Win,1,23,Glenn Jones SK No Mobius,10/4/2023,2,10:05:00 PM,11:05:00 PM
29,No,Win 1,Win,1,24,Glenn Jones SK No Mobius,10/5/2023,3,9:50:00 PM,10:05:00 PM
30,No,Retreat -1,Retreat,-1,23,Glenn Jones SK No Mobius,10/5/2023,3,9:50:00 PM,10:05:00 PM
31,No,Win 2,Win,2,25,Glenn Jones SK No Mobius,10/5/2023,3,9:50:00 PM,10:05:00 PM
32,No,Retreat -1,Retreat,-1,24,Glenn Jones SK No Mobius,10/5/2023,3,9:50:00 PM,10:05:00 PM
33,No,Win 4,Win,4,28,Glenn Jones SK No Mobius,10/5/2023,3,9:50:00 PM,10:05:00 PM
34,No,Retreat -1,Retreat,-1,27,Glenn Jones SK No Mobius,10/5/2023,3,9:50:00 PM,10:05:00 PM
35,Yes ,Win 4,Win,4,31,Glenn Jones SK No Mobius,10/5/2023,3,9:50:00 PM,10:05:00 PM
36,No,Loss -2,Loss,-2,29,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
37,No,Retreat -1,Retreat,-1,28,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
38,No,Win 2,Win,2,30,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
39,Maybe,Win 4,Win,4,34,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
40,No,Win 4,Win,4,38,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
41,Yes ,Win 4,Win,4,42,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
42,Yes ,Retreat -1,Retreat,-1,41,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
43,Maybe,Win 2,Win,2,43,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
44,No,Win 4,Win,4,47,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
45,No,Retreat -1,Retreat,-1,46,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
46,No,Win 2,Win,2,48,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
47,Yes ,Win 2,Win,2,50,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
48,No,Win 4,Win,4,54,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
49,Yes ,Win 4,Win,4,58,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
50,No,Win 4,Win,4,62,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
51,No,Retreat -1,Retreat,-1,61,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
52,No,Retreat -1,Retreat,-1,60,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
53,No,Win 2,Win,2,62,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
54,No,Win 1,Win,1,63,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
55,No,Win 4,Win,4,67,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
56,No,Win 2,Win,2,69,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
57,No,Retreat -1,Retreat,-1,68,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
58,No,Retreat -1,Retreat,-1,67,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
59,No,Win 2,Win,2,69,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
60,No,Win 4,Win,4,73,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
61,No,Retreat -1,Retreat,-1,72,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
62,No,Retreat -1,Retreat,-1,71,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
63,No,Retreat -1,Retreat,-1,70,Sera Elsa Armor,10/9/2023,4,9:05:00 PM,10:40:00 PM
64,Maybe,Win 4,Win,4,74,Sera Elsa Armor,10/10/2023,5,9:00:00 PM,10:05:00 PM
65,No,Win 2,Win,2,76,Sera Elsa Armor,10/10/2023,5,9:00:00 PM,10:05:00 PM
