index,bot,entry,match_result,cubes,cubes_total,deck,date,session,session_start,session_end
1,No,Retreat -1,Retreat,-1,-1,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
2,No,Retreat -2,Retreat,-2,-3,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
3,Yes ,Win 8,Win,8,5,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
4,Maybe,Win 4,Win,4,9,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
5,No,Win 2,Win,2,11,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
6,No,Win 2,Win,2,13,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
7,Maybe,Win 2,Win,2,15,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
8,No,Retreat -1,Retreat,-1,14,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
9,No,Retreat -1,Retreat,-1,13,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
10,No,Win 2,Win,2,15,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
11,No,Win 1,Win,1,16,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
12,No,Loss -2,Loss,-2,14,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
13,No,Loss -2,Loss,-2,12,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
14,No,Retreat -1,Retreat,-1,11,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
15,Maybe,Win 4,Win,4,15,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
16,No,Loss -2,Loss,-2,13,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
17,Yes ,Win 4,Win,4,17,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
18,No,Win 4,Win,4,21,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
19,No,Win 2,Win,2,23,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
20,No,Win 1,Win,1,24,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
21,No,Win 2,Win,2,26,Loki Sera JeffH,9/5/2023,1,9:00:00 PM,11:00:00 PM
